_	a	determiner			banyin na basia	a man and a woman
botae	aim	noun	ade a wo anyi da so		bra mu botae	life's aim
botan	rock	noun			botan kɛse	a big rock
bow	be drunk	verb			wo abow	you are drunk
bowa	be wrong	verb			me bowa?	am I wrong?
bɔ	hit	verb			mma mmbɔ me	do not hit me
bɔ	create	verb			bɔ biribi foforo	create something new
bɔ ... aboro	sabotage	verb			bɔ no aboro	sabotage her
bɔ ... anohoba	promise	verb			bɔ me anohoba	promise me
bɔ ... asowa mu	slap	verb			bɔ ne asowa mu	slap him
bɔ ... asu	baptise	verb			bɔ Yohanes asu	baptise John
bɔ ... bosea	loan	verb			bɔ me sika bosea	loan me money
bɔ ... dua	curse	verb			mmbɔ me dua	do not curse me
bɔ ... ho ban	protect	verb			bɔ hɛn ho ban	protect us
bɔ ... ho dawuru	advertise	verb			bɔ guade ho dawuru	to advertise a product
bɔ ... krɔnoo	burgle	verb			wɔ bɔee me krɔnoo	they burgled me
bɔ ... kɔkɔ	warn	verb			bɔ obi kɔkɔ	warn someone
bɔ ... mbɔden	strive	verb		to make an effort	ɔ bɔ neho mbɔden	she strives
bɔ ... nkae	remind	verb			bɔ obi nkae	to remind someone
bɔ ... patapaa	bully	verb			wɔ rebɔ no pataapaa	they are bullying him
bɔ ... somebo	accuse	verb			wɔ bɔee no somebo	they accused him
bɔ ... tuutuu	hawk	verb			bɔ ndeɛma tuutuu	hawk things
bɔ birim	startle	verb			me bɔee birim	I was startled
bɔ dam	go mad	verb			wo abɔ dam	you have gone mad
bɔ mpae	pray	verb			bɔ mpae ma me atamfo	to pray for my enemies
bɔ nsamu	clap	verb			bɔ nsamu ma Yaa	to clap for Yaa
bɔ waw	cough	verb			bɔ waw dodoodow	to cough profusely
bɔade	creator	noun			ɔbɔade nyame	creator god
bɔaman	conqueror	noun			ɔ yɛ bɔaman	she is a conqueror
bɔbea	shape	noun			dan no ne bɔbea	the shape of the house
bɔbew	disposition	noun			nyimpa ne bɔbew	a person's disposition
bɔbo	pick	noun			fa bɔbo bubu abo	to break rocks with a pick
bɔdambɔ	bottle	noun			mbɔdambɔ anum	five bottles
bɔdes	bodice	noun			ɔ hyɛ bɔdes	she wears a bodice
bɔdɔm	dog	noun			bɔdɔm puow	a dog barks
bɔdɛe	fat	adjective			afono bɔdɛe	fat cheeks
bɔfo	messenger	noun			abɔfo no bae	the messengers arrived
bɔgyɛte	budget	noun			afe yi ne bɔgyɛte	this year's budget
bɔhyɛ	pledge	noun		a promise to do something	Onyame bɔhyɛ no aba mu	God's pledge has been fulfilled
Bɔkina Faso	Burkina Faso	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Bɔkina Faso	go to Burkina Faso
Bɔkina Fasonyi	Burkinabe	noun	obi a ɔ fi Bɔkina Faso	someone from Burkina Faso	Bɔkina Fasofo no	the Burkinabes
bɔkɔɔ	slowly	adverb			nantew bɔkɔɔ	walk slowly
bɔmbɔnyi	hunter	noun			abɔmbɔfo anum	five hunters
bɔn	crow	verb			akokɔnyin rebɔn	a cockerel is crowing
bɔn	stink	verb			biribi rebɔn	something is stinking
bɔn	pit	noun			tu bɔn	dig a pit
bɔnamnyi	butcher	noun			ɔ yɛ bɔnamnyi	she is a butcher
bɔne	sin	noun			bɔne nye bɔnefakyɛ	sin and forgiveness
bɔne	bad	adjective			kraman bɔne	bad dog
bɔne	evil	noun			bɔne bɛn nyi?	which evil is this?
bɔnefakyɛ	forgiveness	noun			ɔdɔ, ngyetomu na bɔnefakyɛ	love, acceptance and forgiveness
bɔnka	ditch	noun			nsu wɔ bɔnkɔ no mu	there is water in the ditch
bɔnkɔ	lobster	noun			me di bɔnkɔ	I eat lobster
bɔnsa	valley	noun			mbepɔw na mbɔnsa	hills and valleys
bɔnyin	barren	adjective			basia bɔnyin	barren woman
bɔɔfrɛ	pawpaw	noun			bɔɔfrɛ nye kwadu	pawpaw and banana
bɔɔl	ball	noun			bɔ bɔɔl	play ball
bɔɔla	dump	noun			nwura bɔɔla	rubbish dump
bɔɔlbɔ	football	noun		soccer	bɔɔlbɔ akansi	football competition
bɔɔlbɔ	soccer	noun			bɔɔlbɔ akansi	football competition
bɔre	venom	noun			ɔwɔ ne bɔre	venom of a snake
bɔs	bus	noun			bɔs gyinabea	bus stop
bɔsu	dewdrop	noun			bɔsu pii	many dewdrops
bɔta	butter	noun			paanoo na bɔta	bread and butter
Bɔtswana	Botswana	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Bɔtswana	go to Botswana
Bɔtswananyi	Motswana	noun	obi a ɔ fi Bɔtswana	someone from Botswana	Bɔtswanafo no	the Batswana
bɔtɔ	pocket	noun			hwee nnyi me bɔtɔ mu	nothing inside my pocket
bɔw	fog	noun			bɔw tumm	dark fog
bɔw	dew	noun			anapa bɔw	morning dew
bɔwen	bile	noun			bɔwen bun	green bile
bɔyeɛ	hmph	exclamation			me se, bɔyeɛ!	I say, hmph!
bra	come!	verb			bra ha!	come here!
bra	period	noun		discharge of reproductive waste in young females	me bra baee ntɛm	my period came early
bra	life	noun			bɔ wo bra yie	live your life well
braban	behaviour	noun			braban saa ara	normal behaviour
brabere	lifetime	noun			wɔ me brabere mu	in my lifetime
bragoro	sex education	noun	adesua a mbaa sua sɛ wɔn bra a ɛ di kan ba a		me awie bragoro	I completed sex education
brayaw	dysmenorrhoea	noun			me wɔ brayaw	I have dysmenorrhoea
Brazavel-Kongo	Congo-Brazzaville	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Brazavel-Kongo	go to Congo-Brazzaville
Brazavel-Kongonyi	Brazzaville-Congolese	noun	obi a ɔ fi Brazavel-Kongo	someone from Congo-Brazzaville	Brazavel-Kongofo no	the Brazzaville-Congolese
breeke	brake	noun			kaar ne breeke	brake of a car
bregye	bridge	noun			twa bregye no	cross the bridge
brekese	brick	noun			mbrekese kɔkɔɔ	red bricks
brɛ	tiredness	noun			brɛ nye bahaw	tiredness and fatigue
brɛ	tire	verb			atamfo bɛbrɛ	enemies will tire
brɛbo	loyal	adjective			me nyɛnko brɛbo	my loyal friend
brɛbo	liver	noun			kraman wɔ brɛbo	a dog has a liver
brɛbode	loyalty	noun			brɛbode nye ɔdɔ	loyalty and love
brɛw	slowly	adverb			akyekyerɛ nantew brɛw	a tortoise walks slowly
Bronya	Christmas	noun	Afahyɛ a asi Mumu da 25	A festival that falls on December 25	Bronya reba	Christmas is coming
brɔn	neighborhood	noun			yɛ te brɔn koro mu	we live in the same neighborhood
brɔn	neighbourhood	noun			yɛ te brɔn koro mu	we live in the same neighbourhood
Brunae	Brunei	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Brunae	go to Brunei
Brunaenyi	Bruneian	noun	obi a ɔ fi Brunae	someone from Brunei	Brunaefo no	the Bruneians
bruu	blue	adjective			atare bruu	blue dress
bu	honour	noun			obu nye ɔdɔ	honour and love
bu	break	verb			bu duaba no	break the stick
bu	respect	verb			me bu wo paa	I respect you very much
bu ... man	govern	verb			bu Gaana man	govern Ghana
bua	respond	verb			ɔ buaee	he responded
bubu	smash	verb			prɛte no abubu	the plate is smashed
bubua	lameness	noun			ne abubua reyɛ yie	her lameness is improving
bubuanyi	cripple	noun			ɔ yɛ bubuanyi	he is a cripple
buei	open	verb			me buei abow no	I open the door
bufalo	buffalo	noun			bufalo koro	one buffalo
bukyia	stove	noun			gaas bukyia	gas stove
bukyia	hearth	noun			gya wɔ bukyia no mu	there is fire in the hearth
bum	plentiful	adjective	pii; bu so	bounteous; abundant	ndɔbaa bum	a plentiful harvest
bun	green	adjective			hataw bun	green leaf
bura	well	noun			bura nsu	well water
burabɔn	borehole	noun			tu burabɔn	dig a borehole
buronyi	foreigner	noun	ɔ bi a ne honam ahosu te sɛ aburow fitaa		aburofo no aba	the foreigners have arrived
burosuow	pawpaw	noun			burosuow nye mpuwa	pawpaw and banana
Burundi	Burundi	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Burundi	go to Burundi
Burundinyi	Burundian	noun	obi a ɔ fi Burundi	someone from Burundi	Burundifo no	the Burundians
busu	sacrilege	noun		speaking or acting offensively to a deity	busu bɛn nyi?	what sacrilege is this?
busua	family	noun			busua foforo	new family
busuanyi	relative	noun			ɔ yɛ busuanyi	he is a relative
busuasanten	genealogy	noun			Nkruma ne busuasanten	the genealogy of Nkruma
Butan	Bhutan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Butan	go to Bhutan
Butannyi	Bhutann	noun	obi a ɔ fi Butan	someone from Bhutan	Butanfo no	the Bhutanns
butuw	overturn	verb			kyɛnsee no abutuw	the pan has overturned
buukuu	book	noun			buukuu yi	this book
buw	coop	noun			akɔkɔ buw	hen coop
buwa	roost	verb			anoma anntu a, ɛ buwa da	if a bird does not fly, it roosts
C	C	noun	Akyerɛwamba wɔ nsusui mu	third letter of English alphabet	"kC 1" kyerɛ kiloCoulomb koro	"1 kC" means "one kiloCoulomb"
d (D)	d (D)	noun	Akan akyerɛwamba a ɛ tɔ so abiasa		Wo sua wo A B D wɔ skuul	You learn your "A B D" at school
da	day	noun			da no aba	the day has arrived
da	sleep	verb			da anafua	to sleep at night
da ... ase	thank	verb			da wo Papa ase	to thank your Father
da famu	be trivial	verb			adwumayɛ nnda famu	working is not trivial
da nkunkyire	share bed with husband	verb	da wo kun akyiri	to sleep in your husband's bed	Yaa bɛda nkunkyire anadwo yi	Yaa will share a bed with her husband this night
daa	daily	adverb			ɔ ba ha daa	he comes here daily
daabi	no	exclamation			me se daabi	I say no
daadaa	trick	verb			me dɔfo adaadaa me	my beloved has tricked me
daadaa	disappoint	verb			me dɔfo adaadaa me	my lover has disappointed me
daadaa	forever	adverb			ɔ te ase daadaa	she lives forever
daakye	future	noun			me hu ahotɔ wɔ wo daakye mu	I see luxury in your future
daakyeadehu	vision	noun			daakyeadehu foforo ma Abibiman	a new vision for Africa
dabodabo	duck	noun			dabodabo fitaa	white duck
dabraba	falsification	noun			ntoro na ndabraba	lies and falsifications
dadaw	old	adjective			kyɛnsee dadaw	old pan
dade	iron	science			dade (Fe) wɔ protɔn 26	iron (Fe) has 26 protons
dade	metal	noun			dade kyɛw	hat of metal
dado	still	adverb			dado reyɛ	still doing
dae	dream	noun			ndae pii	many dreams
daekɛse	aspiration	noun			daekɛse papa	good aspirations
daho	still	adverb			daho reyɛ	still doing
dame	draughts	noun		a board game also known as checkers in American English	tow dame	play draughts
dampare	roof	noun		the cover over the top of a building	dan a ne dampare kɔkɔɔ no	the house with the red roof
dan	house	noun			dan no	the house
dane	change	verb			mbere dane a dane wo ho bi	if time changes, change with the times
dapɛn	week	noun			dapɛn yi	this week
dasanyi	human	noun			yɛ yɛ adasafo	we are humans
dase	testimony	noun			wo dase nye dɛn?	what is your testimony?
dasenyi	witness	noun			adasefo abiasa	three witnesses
daso	still	adverb			daso reyɛ	still doing
dawuro	gong gong	noun			bɔ dawuro no	play the gong gong
dawuru	news	noun			amansuon dawuru	news of the realm
dawurubɔ	proclamation	noun			adasa ndinoa ho dawurubɔ	proclamation of the rights of humankind
dawurubɔ-krataa	newspaper	noun			me rekenkan dawurubɔ-krataa no	I am reading the newspaper
de	have a hold on	verb			kɔm de me	hunger has a hold on me (I am hungry)
de ... kaw	owe	verb			me de wo kaw	I owe you
de ... mu	take hold of	verb			de me mu	take hold of me
dea	the thing	pronoun			dea ɔ yɛ	the thing she does
deda	lay	verb			mbowa bɛdeda hɔ	animals will lay there
dede	noise	noun			gyae dede yɛ	stop making noise
dede	sound	noun			dede kɛse	loud sound
dededede	loud	adjective			nino dededede	loud siren
dehye	user	noun			adehye ahen?	how many users?
den	hard	adjective			ɛ yɛ den	it is hard
dendene	solid	adjective			nsu dendene	solid water
dendenndene	tightly	adverb			suo mu dendenndene	hold it tightly
dene	difficult	adjective			nsɔhwɛ no yɛ dene	the exam is difficult
dɛ	that	conjunction			me se dɛ	I say that
dɛefo	philanthropist	noun			ɔ yɛ ɔdɛefo	she is a philanthropist
dɛm	scar	noun			ne afon wɔ dɛm	her cheek has a scar
dɛm	whoa	exclamation		for emphasis	dɛm barima yi!	whoa, this man!
dɛm	that	adjective			bɔdɔm dɛm	that dog
dɛn	what	pronoun			dɛn nye no?	what is that?
dɛnkyɛm	crocodile	noun			dɛnkyɛm pɛ nsu	a crocodile likes water
dɛnkyɛmbo	diamond	noun			dɛnkyɛmbo fitaa	a white diamond
dɛte	clay	noun			dɛte hyera	clay vase
dɛw	sweet	adjective			tii no yɛ dɛw	the tea is sweet
di	eat	verb			di biribiara	to eat everything
di ... akohwi	lie	verb			wo di akohwi dodow	you lie too much
di ... akyiri	follow	verb			di me akyiri	follow me
di ... ano	bargain	verb			di bo ano	bargain over price
di ... atoro	lie	verb			wo di atoro dodow	you lie too much
di ... fɔ	be guilty of	verb			yɛ di fɔ	we are guilty
di ... hene	reign	verb			Nyame di hene	God reigns
di ... ho fɛw	tease	verb			di no ho fɛw	tease him
di ... kan	lead	verb			di hɛn kan	lead us
di ... kyim	argue	verb			di no kyim	argue with him
di ... kɔnkɔnsa	gossip	verb			di ne ho kɔnkɔnsa	gossip about her
di ... nkonyim	triumph	verb			hom diee nkonyim	you triumphed
di ... nyim	win	verb			di akansi nyim	to win a competition
di ... sa	battle	verb			yɛ rekɔdi hɔn sa	we are going to battle them
di agoro	play	verb			yɛ redi agoro	we are playing
di ahurusi	exult	verb			me kra di ehurusi	my soul exults
di bata	trade	verb		to exchange products and services	di bata ntɛm	to trade quickly
di dɛw	rejoice	verb			di dɛw, me se, di dɛw	rejoice, I say, rejoice
di mbuada	fast	verb				fast and pray
di nkogu	be defeated	verb			hom diee nkogu	you were defeated
di nkɔmbɔ	converse	verb			me nye obi bɛdi nkɔmbɔ	I will converse with someone
di yaw	grieve	verb			me kra di yaw	my soul grieves
dibew	position	noun			dibew papa	a good position
didi	dine	verb				
Difuu	August	noun			Difuu wɔ nda 31	August has 31 days
dimafo	advocate	noun	kasamafo		adimafo anan	four advocates
din	noun	noun			din anan	four nouns
din	name	noun			me din	my name
dinhyɛananmu	pronoun	noun			dinhyɛananmu abien	two pronouns
dinn	quiet	adjective			yɛ dinn	be quiet
dintamsi	adjective	noun			dintamsi abiasa	three adjectives
do	on	preposition			da pono no do	sleep on the table
dobɛ	yaws	noun			dobɛ yɛ yare	yaws is a disease
dodow	quantity	noun			aduane no ne dodow	quantity of the food
dodow	too much	adverb			ɔ hyɛ ahoroba dodow	he insults too much
dondo	squeeze drum	noun			bɔ dondo no	play the squeeze drum
donkɔ	slave	noun			me dɔnkɔ	my slave
doroba	needle	noun			ahoma na doroba	string and needle
dɔ	love	noun			ɔdɔ nye asomudwoe	love and peace
dɔ	love	verb			me dɔ wo	I love you
dɔfo	lover	noun			me dɔfo adaadaa me	my lover has tricked me
dɔketa	doctor	noun			ɔ yɛ dɔketa	she is a doctor
dɔkono	kenkey	noun			dɔkono na frɔwee	kenkey and stew
dɔktanyi	doctor	noun			ɔ yɛ dɔktanyi	she is a doctor
dɔkɔdɔkɔ	duck	noun			dɔkɔdɔkɔ fufuw	white duck
dɔla	dollar	noun			dɔla du	ten dollars
dɔm	crowd	noun			dɔm dede	noisy crowd
dɔn	hour	noun			ndɔn du	ten hours
dɔnkyerɛ	clock	noun		a free-standing device which tells the time	ka dɔnkyerɛ no mbere kyerɛ me	tell me the time on the clock 
dɔɔso	increase	verb			krɔnoo redɔɔso	burglary is increasing
dɔre	thrive	verb			nkran no redɔre	the ants are thriving
dɔre	thrive	verb			kua no redɔre	the farm is thriving
dɔw	weed	verb			dɔw mfuw	weed grass
drama	drama	noun			me pɛ drama sene	I like drama films
drɔw	draw	verb			drɔw anoma	draw a bird
drɔɔse	drawers	noun			wo hyɛ drɔɔse?	are you wearing drawers?
du	arrive	verb			wo du a frɛ me	when you arrive, call me
du	ten	adjective	Nkanee 10	the number 10	mbɔdambɔ du	ten bottles
du-abiasa	thirteen	adjective	nkanee 13	the number 13	mbɔdambɔ du-abiasa	thirteen bottles
du-abien	twelve	adjective	nkanee 12	the number 12	mbɔdambɔ du-abien	twelve bottles
du-akron	nineteen	adjective	nkanee 19	the number 19	mbɔdambɔ du-akron	nineteen bottles
du-anan	fourteen	adjective	nkanee 14	the number 14	mbɔdambɔ du-anan	fourteen bottles
du-anum	fifteen	adjective	nkanee 15	the number 15	mbɔdambɔ 15	fifteen bottles
du-asia	sixteen	adjective	nkanee 16	the number 16	mbɔdambɔ	sixteen bottles
du-asuon	seventeen	adjective	nkanee 17	the number 17	mbɔdambɔ asuon	seventeen bottles
du-awɔtwe	eighteen	adjective	nkanee 18	the number 18	mbɔdambɔ du-awɔtwe	eighteen bottles
du-koro	eleven	adjective	nkanee 11	the number 11	mbɔdambɔ dukoro	eleven bottles
dua	plant	verb			dua dua	to plant a tree
dua	sow	verb			dua dua	sow a tree
dua	enter	verb			dua dan no mu	enter into the room
dua	tail	noun			ɔkra wɔ dua	a cat has a tail
dua	tree	noun			dua dua	plant a tree
duaba	stick	noun			bu duaba no	break the stick
duabaa	twig	noun			nduabaa ahen?	how many twigs?
duabo	ebony	noun			duabo tuntum	black ebony
duado	latrine	noun			duado no wɔ hen?	where is the latrine?
dudo	boiled herbs	noun			nom dudo no	drink the boiled herbs
dum	extinguish	verb			dum gya no	extinguish the flame
dum	switch off	verb			dum kandea no	switch off the light
dum	turn off	verb			dum kandea no	to turn off the light
dumsɔ	flicker	verb			kandea no redumsɔ	the light is flickering
dunsinyi	herbalist	noun			ɔ yɛ dunsinyi	she is a herbalist
duru	weight	noun			duru duruduru	a heavy weight
duruduru	heavy	adjective			ɛ yɛ duruduru	it is heavy
durugya	horn	noun		musical instrument with deep voice	durugya ndwom	horn music
duukuu	headscarf	noun			bɔ duukuu	tie a headscarf
dwe	cool	verb			ma ɛ ndwe	let it cool
dwe	nut	noun			wɔ di ndwe	they eat nuts
dwe	cool	verb			dwe aduane no	to cool the food
dwe	deflate	verb	brɛ ade		wo taae no redwe	your tyre is deflating
dwedwe	calm	verb			dwedwe wo abufuw	calm your anger
dwee	cool	adjective			biɛɛ dwee	a cool beer
dwene	think	verb			me dwene sɛ ...	I think that ...
dwetɛ	silver	science			dwetɛ (Ag) wɔ protɔn 47	silver (Ag) has 47 protons
dwetɛ	silver	noun			dwetɛ nye sika-kɔkɔɔ	silver and gold
dwew	yam	noun			noa dwew no	cook the yam
dwɛɛ	arrogant	adjective			banyin dwɛɛ	arrogant man
dwɛɛtɛɛ	cash	noun			me wɔ dwɛɛtɛɛ	I have cash
dwin	construct	verb		to fabricate; to engineer; to make	ɔ adwin afiri foforo	he has constructed a new machine
dwinnyi	engineer	noun			ɔdwinnyi yɛ mfiri	an engineer makes tools
dwinnyi	smith	noun		an engineer	ɔdwinnyi yɛ mfiri	a smith makes tools
dwiriw	crumble	verb			dan no dwiriwee	the house crumbled
dwo	cool	verb			aduane no adwo	the food has cooled
dwonku	hip	noun			me ndwonku	my hips
dwontonyi	musician	noun			adwontofo no	the musicians
Dwowda	Monday	noun			Dwowda mba	Monday children
dwɔlɔf	jollof	noun	moo a anoa wɔ ntos frɔwee mu	rice cooked in tomato stew	dwɔlɔf yɛ aduane	jollof is food
dwudwu	advantage	noun			wɔ wɔ dwudwu	they have an advantage
dwuma	activity	noun			ndwuma pii wɔ hɔ	there are many activities there
dwumadi	event	noun			dwumadi no ahyɛ ase	the event has started
dwuw	louse	noun			nkokɔ dwuw	chicken lice
dzɛn	gentle	adjective			tɛkyerɛma dzɛn	a gentle tongue
dzɛndzɛn	gently	adverb			wosow no dzɛndzɛn	to shake gently
e	you	pronoun	de kyerɛ baako a ɔ retie	second person singular subject pronoun. Used to indicate one person being addressed	wo didi	you eat
E	e (E)	noun	Akan akyerɛwamba a ɛ tɔ so anan		"E" ma Ebo	"E" is for Ebo
eban	herring	noun			eban yɛ nsunam	a herring is a fish
ebi a	maybe	adverb			ebi a ɔ bɛba	maybe he will come
eboa	fishing-net	noun			eboa foforo	a new fishing-net
Ebɔbira	April	noun			Ebɔbira wɔ nda 30	April has 30 days
Ebɔw	March	noun			Ebɔw wɔ nda 31	March has 31 days
efupɔnkɔ	camel	noun			efupɔnkɔ asia	six camels
enke	ink	noun			pɛn mu enke	ink in a pen
eno	madam	noun			eno Mary	madam Mary
eprikɔt	apricot	noun			eprikɔt abien	two apricots
eyam	ringworm	noun			ɔ wɔ eyam	he has ringworm
ɛ	it	pronoun	de kyerɛ ade koro wo abɔ ne din dada	subject pronoun used to indicate one thing previously mentioned	ɛ tɔ famu	it falls
ɛ te sɛn	hello	exclamation			sir, ɛ te sɛn?	hello sir
ɛ te sɛn	how are you	phrase			ɛ te sɛn?	how are you?
Ɛbɔ	September	noun			Ɛbɔ wɔ nda 30	September has 30 days
ɛfirisɛ	because	conjunction			ɛfirisɛ me pɛ wo asɛm	because I like you
ɛgyerɛ	gap	noun			ɔ wɔ ɛgyerɛ fɛfɛw da ne se mu	she has a beautiful gap between her teeth
ɛkɔnɔmi	economy	noun			Abibiman ne ɛkɔnɔmi	the economy of Africa
ɛkrɔ	eczema	noun			ɛkrɔ yɛ honam yare	eczema is a skin disease
ɛno	that thing	pronoun			ɛno no me nyaee	that thing is what I got
ɛno de	in that case	adverb			ɛno de bra	in that case come
Ɛritrea	Eritrea	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Ɛritrea	go to Eritrea
Ɛritreani	Eritrean	noun	obi a ɔ fi Ɛritrea	someone from Eritrea	Ɛritreafo no	the Eritreans
ɛsianesɛ	because	conjunction			ɛsianesɛ me pɛ wo asɛm	because I like you
ɛspiriɛns	experience	noun			ɔ wɔ ɛspiriɛns	she has experience
ɛwo	honey	noun			ɛwo yɛ dɛw	honey is sweet
ɛwokyɛm	honeycomb	noun			ɛwo wɔ ɛwokyɛm mu	honey in a honeycomb
fa	take	verb			fa aduru	to take medicine
fa	keep	verb			fa nsesa no	keep the change
fa	half	noun	pɛre pɛre nkyɛmu abien ne mu koro	one out of two equal divisions	koro na fa	one and half
fa	page	noun			buei fa aduonu-abien	open page twenty-two
fa	part	noun			nwoma no wɔ afa abiasa	the book has three parts
fa ... adamfo	befriend	verb			fa me adamfo	befriend me
fa ... ba	bring	verb			ɔ bɛfa buukuu aba	he will bring a book
fa ... ho	be relevant to	verb			ɔ mmfa me ho	it is not about me
fa ... ka ho	add	verb			fa asikyire ka ho	add sugar
fa ... kyɛ	forgive	verb			fa me bɔne kyɛ me	forgive me my wrong
fa ... to gua	announce	verb			fa to gua sɛ	announce that
faele	file	noun			kɔmpiyuta faele	computer file
fafranta	butterfly	noun			fafranta ho yɛ fɛw	a butterfly is beautiful
fam	attach	verb			fam ban ho	attach to wall
famu	floor	noun			wɔ famu	on the floor
famu-tenten	length	noun			tenten, trɛtrɛ nye famu-tenten	height, width and length
famufa	quarter	math			famufa abien yɛ fa	two quarters make half
fan	cabbage	noun		a leafy vegetable	fan frɔwee	cabbage stew
Fankwa	September	noun			Fankwa wɔ nda 30	September has 30 days
Fante	Fanti	noun			Fante yɛ Akan kasa	Fanti is an Akan language
fapem	foundation	noun			dan no ne fapem	foundation of the house
farenyi	fisherman	noun			ɔ yɛ farenyi	he is a fisherman
fata	deserve	verb			Nyame fata ndaase	God deserves thanksgiving
fawohodi	independence	noun			fawohodi da	independence day
fawohodi	freedom	noun			fawohodi nye atɛntenenee	freedom and justice
fe	miss	verb			me afe fie	I miss home
fe	vomit	noun			bɔdɔm fe	dog's vomit
fe	vomit	verb			wo afe	you have vomitted
feaa	thin	adjective			menaba feaa	thin broomstick
fefa	caress	verb			ne nsa fefa ho	her hand caresses it
fefuw	sprout	verb			aburow no refefuw	the maize is sprouting
fefɛwbere	spring	noun		a season of new growth	me di fefɛwbere wɔ Ngyiresi	I spend Spring in England
fekyere	adjust	verb			fekyere abow no	to adjust the door
fekyew	doctor	verb			wɔn afekyew ade no	they have doctored the thing
Felepins	Philippines	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Felepins	go to Philippines
Felepinsnyi	Filipino	noun	obi a ɔ fi Felepins	someone from Philippines	Felepinsfo no	the Filipinos
fere	melon	noun			fere bun	green melon
feseks	physics	noun		the study of the laws of the universe	yɛ resua feseks	we are learning physics
few	kiss	verb			few me ano	kiss my lips
fɛ	colleague	noun			wo mfɛfo	your colleagues
fɛ	peer	noun			wo mfɛfo	your peers
fɛkuw	association	noun			bra mbarima fɛkuw nhyiae	come to the men's association meeting
fɛm	lend	verb			fɛm me buukuu yi	lend me this book
fɛnsere	window	noun			bue mfɛnsere	open the windows
fɛre	shyness	noun			ɔdɔ nye fɛre	love with shyness
fɛre	be shy	verb			me fɛre	I am shy
fɛre	shyness	noun			ɔ nnyi fɛre	he has no shyness
fɛw	beautiful	adjective			ɔ yɛ fɛw	it is beautiful
fɛwfɛw	pretty	adjective			ɔbaa fɛwfɛw	a pretty woman
fi	from	preposition			kɔ fi ha	go from here
fi	depart from	verb			fi ha	depart from here
fiade	prison	noun			kɔ fiade	go to prison
fiase	jail	noun			kɔ fiase	go to jail
Fida	Friday	noun			Fida mba	Friday children
fie	home	noun			wo fie	your home
fifiri	germinate	verb			aburow no refifiri	the corn is germinating
fih	dirt	noun			fih nye yare	dirt and disease
fih	dirty	adjective			atare fih	dirty dress
fiise	fees	noun			suukuu fiise	school fees
fikyiri	backyard	noun			fikyiri hɔ afuw	the backyard is overgrown
finimfin	centre	noun			wɔ finimfin	be in the centre
fintiw	stumble	verb			ɔ fintiwee	she stumbled
firi	from	preposition			kɔ firi ha	go from here
firi	borrow	verb			firi sika	borrow money
firikyiwa	castanet	noun			bɔ firikyiwa no	play the castanets
fitaa	white	adjective			dan fitaa	white house
fitia	bungalow	noun			mfitia abiasa	three bungalows
flɔriin	fluorine	science			flɔriin (F) wɔ protɔn 9	fluorine (F) has 9 protons
fo	cheap	adjective			yɛ fo	be cheap
foforo	new	adjective			busua foforo	new family
fom	err	verb			me afom	I have erred
foo	quiet	adjective			yɛ foo	be quiet
foon	phone	noun			ne foon	her phone
foonoo	oven	noun			paanoo no hyɛ foonoo no mu	the bread is in the oven
fora	mix	verb			nsu mmfora ngo	water does not mix with oil
foto	photograph	noun			twa foto	take a photograph
fow	climb	verb			fow nkoko	to climb mountains
fɔkyee	soaked	adjective			tam fɔkyee	soaked cloth
fɔɔke	fork	noun			fɔɔke na sekan	fork and knife
fɔsefɔrɔs	phosphorus	science			fɔsefɔrɔs (P) wɔ protɔn 15	phosphorus (P) has 15 protons
fɔw	get wet	verb			hɔ afɔw	the place has gotten wet
fɔwee	wet	adjective			kuntu fɔwee	wet blanket
fra	mix	verb			fra amoaa na gyeene	to mix tomatoes and pepper
frankaa	flag	noun			frankaa akoangoa	yellow flag
Frans	France	noun	Ɔman wɔ Yurop	A country in Europe	kɔ Frans	go to France
fregye	fridge	noun			buei fregye no	open the fridge
fregye	refrigerator	noun			buei fregye no	open the refrigerator
frɛ	call	verb			frɛ banyimba no	to call the boy
frɛnkye	French	noun		French language	ɔ ka frɛnkye	she speaks French
Frɛnkyenyi	French	noun	obi a ɔ fi Frans	someone from France	Frɛnkyefo no	the French
frɔwee	stew	noun			yɛ frɔwee	make stew
fua	support	verb			me fua no	I support him
fufu	fufu	noun			di fufu	eat fufu
fufuw	white	adjective			dan fufuw	white house
Fula	Fula	noun			Fula kasa	Fula language
funu	useless	adjective			adwuma funu	useless work
funu	carcass	noun		body of a dead animal	funu no reprɔw	the carcass is rotting
funu	corpse	noun		body of a dead human being	funu no reprɔw	the corpse is rotting
fura	cover	verb			fura tam	cover with cloth; dress in cloth
fuw	overgrow	verb			fikyiri hɔ afuw	the backyard is overgrown
Gaana	Ghana	noun	Ɔman wɔ Afreka	a country in Africa	Hɔn a wɔ fi Gaana wɔ frɛ hɔn Gaanafo	people from Ghana are called Ghanaians
